No,station,hour,minutes,to,height,to
1,新金谷,10,38,senzu,1685,出発
2,代官町,10,42,senzu,1588,通過予定
3,日切,10,43,senzu,1492,通過予定
4,五和,10,44,senzu,1396,通過予定
5,神尾,10,53,senzu,1299,通過予定
6,福用,10,57,senzu,1204,通過予定
7,大和田,11,2,senzu,1107,通過予定
8,家山,11,6,senzu,1010,到着
9,家山,11,11,senzu,1010,出発
10,抜里,11,16,senzu,915,通過予定
11,大井川第一橋梁,11,17,senzu,869,通過予定
12,川根温泉笹間渡,11,18,senzu,819,通過予定
13,地名,11,23,senzu,723,通過予定
14,塩郷,11,26,senzu,627,通過予定
15,下泉,11,31,senzu,531,通過予定
16,田野口,11,38,senzu,435,通過予定
17,駿河徳山,11,42,senzu,340,通過予定
18,青部,11,47,senzu,242,通過予定
19,崎平,11,49,senzu,146,通過予定
20,千頭,11,54,senzu,51,到着
21,千頭,14,10,kanaya,51,出発
22,崎平,14,15,kanaya,146,通過予定
23,青部,14,17,kanaya,242,通過予定
24,駿河徳山,14,21,kanaya,340,通過予定
25,田野口,14,26,kanaya,435,通過予定
26,下泉,14,33,kanaya,531,通過予定
27,塩郷,14,38,kanaya,627,通過予定
28,地名,14,41,kanaya,723,通過予定
29,川根温泉笹間渡,14,47,kanaya,819,通過予定
30,大井川第一橋梁,14,48,kanaya,869,通過予定
31,抜里,14,49,kanaya,915,通過予定
32,家山,14,53,kanaya,1011,到着
33,家山,14,59,kanaya,1011,出発
34,大和田,15,3,kanaya,1107,通過予定
35,福用,15,8,kanaya,1204,通過予定
36,神尾,15,13,kanaya,1299,通過予定
37,五和,15,21,kanaya,1396,通過予定
38,日切,15,23,kanaya,1492,通過予定
39,代官町,15,24,kanaya,1588,通過予定
40,新金谷,15,27,kanaya,1685,通過予定